Line,GroupCode,MackEstimate,MackStandardDev,OutcomePercentile,Outcome
CA,353,39177,1442,72.02,40000
CA,388,714600,46707,75.53,745997
CA,620,398409,9462,14.68,388485
CA,833,25350,837,19.02,24613
CA,1066,72429,3944,0.57,63022
CA,1090,20508,780,86.04,21354
CA,1538,91286,2462,40.88,90687
CA,1767,2283059,18264,0.09,2226624
CA,2135,539916,11271,9.62,525310
CA,2208,6256,617,11.35,5528
CA,2623,457578,6787,98.46,472426
CA,2712,363272,7615,0.31,342916
CA,3240,97034,2460,3,92488
CA,3492,72108,1805,4.11,69017
CA,4839,152523,3379,73.71,154644
CA,5185,90188,2684,27.73,88577
CA,6408,17044,760,12.67,16182
CA,6459,8812,832,52.98,8835
CA,6947,16750,563,49.18,16729
CA,7080,341243,8075,15.65,333099
CA,8427,8871,746,18.62,8202
CA,10022,6135,353,19.46,5829
CA,10308,5175,180,85.17,5363
CA,11037,23121,1279,3.76,20924
CA,11118,32733,1562,22.03,31515
CA,13420,967,395,70.24,1103
CA,13439,3787,284,34.73,3667
CA,13641,8081,414,88.85,8590
CA,13889,1836,130,97.35,2100
CA,14044,5770,287,9.73,5403
CA,14176,24130,1769,8.49,21764
CA,14257,6309,575,83.85,6874
CA,14320,1727,174,73.46,1830
CA,14974,36569,1330,91.84,38445
CA,15199,2021,231,54.34,2033
CA,18163,32218,1415,50.59,32208
CA,18767,87922,2663,0.05,79612
CA,19020,12818,764,100,16976
CA,21270,4396,273,70.9,4540
CA,25275,1226,204,21.42,1061
CA,27022,2170,183,13.42,1970
CA,27065,3678,203,39.72,3620
CA,29440,3058,380,43.2,2971
CA,31550,13691,301,23.71,13474
CA,32301,7705,2623,64.69,8264
CA,34606,667,89,12.93,569
CA,35483,1319,483,43.43,1168
CA,37036,12158,480,41.09,12041
CA,38733,27108,2143,51.26,27091
CA,44598,1014,124,85.17,1143
