Line,GroupCode,ODPEstimate,ODPStandardDev,OutcomePercentile,Outcome
CA,353,38897,1004,87.62,40061
CA,388,697097,11755,99.99,750175
CA,620,370556,11025,95.44,389323
CA,833,24342,16166,65.19,24613
CA,1066,79666,1006538,28.53,63145
CA,1090,21293,903,57.72,21364
CA,1538,89233,7890,74.35,91035
CA,1767,2274979,17935,0.46,2232066
CA,2135,492414,10293,99.86,527697
CA,2208,5681,2637,34.34,5528
CA,2623,365452,571297,98.13,473524
CA,2712,343650,7679,51.34,343410
CA,3240,92456,2922,53.32,92662
CA,3492,71014,1311,6.12,69105
CA,4839,152208,31999,66.36,154686
CA,5185,88748,2732,51.24,88539
CA,6408,17005,437,3.09,16269
CA,6459,8848,304,53.13,8835
CA,6947,16354,337,87.21,16731
CA,7080,330051,10408,72.46,335527
CA,8427,8288,58900,64.19,8202
CA,10022,5913,0,0,5882
CA,10308,5357,14609,38.41,5429
CA,11037,21739,529,22.72,21333
CA,11118,28945,6932,86.57,31665
CA,13420,91260,8742408,63.12,1064
CA,13439,3668,1083,44.49,3667
CA,13641,8109,453,88.21,8591
CA,13889,2027,8641,72.21,2100
CA,14044,5570,2429,30.2,5403
CA,14176,24219,7862,5.96,21775
CA,14257,6653,0,100,6871
CA,14320,1507,83585,61.73,1830
CA,14974,37358,1662,79.84,38445
CA,15199,1953,22199,79.79,2033
CA,18163,33207,377293,62.48,32347
CA,18767,83934,5126,10.43,79694
CA,19020,16994,921,51.38,16976
CA,21270,2475,171154,75.71,4540
CA,25275,1074,31963,38.81,1062
CA,27022,2118,205,21.69,1970
CA,27065,3538,140,76.16,3620
CA,29440,2916,0,100,2971
CA,31550,13318,1104,71.62,13511
CA,32301,7446,372,98.62,8329
CA,34606,763,10788,31.16,597
CA,35483,-483,89098,84.9,1168
CA,37036,12034,571,50.85,12041
CA,38733,27194,2094,57.6,27302
CA,44598,1070,4455,69.4,1143
