Line,GroupCode,MackEstimate,MackStandardDev,OutcomePercentile,Outcome
CA,353,38914,1057,86.06,40061
CA,388,696779,7351,100,750175
CA,620,370374,7413,99.38,389323
CA,833,24357,623,66.34,24613
CA,1066,67925,3357,7.32,63145
CA,1090,21237,697,57.85,21364
CA,1538,89223,1827,83.94,91035
CA,1767,2274894,14990,0.2,2232066
CA,2135,492312,8324,100,527697
CA,2208,5723,323,27.88,5528
CA,2623,367603,15790,100,473524
CA,2712,343548,5997,49.43,343410
CA,3240,92440,1896,55.06,92662
CA,3492,70931,1211,6.44,69105
CA,4839,152715,2252,80.98,154686
CA,5185,88726,1631,45.8,88539
CA,6408,16978,448,5.44,16269
CA,6459,8852,341,48.78,8835
CA,6947,16353,315,88.42,16731
CA,7080,330087,6401,80.31,335527
CA,8427,7958,487,70,8202
CA,10022,6792,368,0.43,5882
CA,10308,5645,160,8.65,5429
CA,11037,21730,526,22.67,21333
CA,11118,29111,1726,92.64,31665
CA,13420,987,406,68.39,1103
CA,13439,3700,235,45.64,3667
CA,13641,8100,317,93.62,8591
CA,13889,1949,131,87.39,2100
CA,14044,5575,133,9.65,5403
CA,14176,24214,1245,2.06,21775
CA,14257,6714,191,79.59,6871
CA,14320,1694,224,74.29,1830
CA,14974,37338,1051,85.37,38445
CA,15199,1842,116,94.52,2033
CA,18163,31523,1478,71.7,32347
CA,18767,83963,1747,0.62,79694
CA,19020,17150,953,43.81,16976
CA,21270,4105,163,99.47,4540
CA,25275,1253,104,2.53,1062
CA,27022,2099,162,21.64,1970
CA,27065,3544,137,71.51,3620
CA,29440,2927,907,57.95,2971
CA,31550,13311,361,71.35,13511
CA,32301,7447,393,98.42,8329
CA,34606,686,110,21.4,597
CA,35483,816,237,91.96,1168
CA,37036,12047,252,49.47,12041
CA,38733,27255,1611,52.34,27302
CA,44598,1077,105,74.54,1143
PA,353,127924,1082,1.13,125477
PA,388,909753,12910,85.39,923360
PA,620,506671,3332,30.09,504924
PA,692,295643,22486,43.24,291003
PA,715,169396,1970,3.33,165810
PA,1066,217952,3331,10.98,213877
PA,1090,1084643,4362,47.74,1084387
PA,1538,311643,2184,62.27,312319
PA,1767,91911951,387080,16.34,91532402
PA,2003,12341930,86543,84.05,12428163
PA,2143,135751,1493,63.45,136257
PA,3240,1077516,9528,81.73,1086131
PA,4839,3027141,15969,54.71,3028991
PA,5185,260517,2639,49.96,260501
PA,6947,900569,4200,98.07,909292
PA,7080,1462768,11961,88.64,1477235
PA,8427,123330,1761,98.19,127063
PA,8559,149928,1577,0.78,146153
PA,10022,66712,1167,0.35,63628
PA,13420,74137,704,10.28,73248
PA,13439,36870,604,14.86,36241
PA,13501,100916,1254,23.37,100001
PA,13528,4763,106,41.45,4739
PA,13587,6881,435,10.47,6344
PA,13595,16986,421,28.22,16740
PA,13641,70136,962,68.67,70599
PA,13889,117017,1212,0.5,113934
PA,14044,36484,343,70.23,36665
PA,14176,143536,2062,1.84,139279
PA,14257,115557,964,56.22,115704
PA,14311,130644,3559,33.68,129106
PA,14443,94073,1114,98.71,96582
PA,15199,108533,1085,3.14,106528
PA,15393,18685,291,98.8,19351
PA,15660,53553,576,21.13,53090
PA,16373,9754,74,63.86,9780
PA,16799,34560,463,0.01,32851
PA,18163,129190,1057,86.4,130352
PA,18791,91774,1034,89.53,93075
PA,23574,21572,277,90.72,21940
PA,25275,101906,1849,82.46,103629
PA,27022,63726,616,0,60411
PA,27065,42788,568,91.88,43585
