Line,GroupCode,MackEstimate,MackStandardDev,OutcomePercentile,Outcome
OL,620,401895,14946,99.96,455387
OL,669,4985,701,47.54,4894
OL,671,6230,665,42.48,6071
OL,683,15523,977,91.88,16915
OL,715,67218,2248,20.84,65381
OL,833,15649,1485,0.06,11462
OL,1538,17001,1134,18.03,15961
OL,1767,2407897,90546,1.08,2207154
OL,2003,251352,11429,98.52,277202
OL,2135,75907,6523,99.14,92770
OL,2143,10638,501,66.1,10836
OL,2208,1978,407,94.02,2660
OL,3240,14302,905,48.87,14248
OL,5185,138209,2106,94.88,141675
OL,5320,6343,253,90.05,6671
OL,6459,11687,1003,1.59,9688
OL,6947,20043,615,34.5,19790
OL,7625,8924,501,71.4,9197
OL,10657,70423,3631,80.08,73457
OL,13501,2623,304,34.6,2489
OL,13919,5271,546,15.12,4713
OL,13994,1974,137,86.97,2129
OL,14044,4611,136,90.78,4793
OL,14176,4754,197,56.65,4783
OL,14257,32166,421,11.88,31670
OL,14370,1360,175,64.35,1414
OL,14915,974,355,41.59,849
OL,15113,2030,168,88.91,2238
OL,15148,359,21,32.49,349
OL,15210,2287,207,25.82,2148
OL,15571,17435,792,14.77,16609
OL,17043,335,106,53.04,327
OL,17450,332,49,52.93,332
OL,17493,399,38,0.37,308
OL,18163,6816,490,86.22,7352
OL,18686,1266,140,98.4,1594
OL,24830,9174,2684,4.5,5416
OL,26797,143825,19427,0.24,97460
OL,27065,20599,637,28.57,20232
OL,28550,6793,1481,43.84,6419
OL,30449,542,59,52.84,543
OL,30651,834,37,93.8,892
OL,32301,38374,145651,77.23,33596
OL,33049,442,213,81.03,595
OL,36315,1373,345,17.14,1053
OL,38733,26485,2142,15.22,24298
OL,41068,1616,144,67.04,1674
OL,41580,5071,367,98.86,5962
OL,42439,26399,3699,96.32,33550
OL,43354,384,46,17.48,341
