Line,GroupCode,MackEstimate,MackStandardDev,OutcomePercentile,Outcome
OL,620,414995,14440,95.44,439839
OL,669,5407,10947,71.23,4894
OL,671,6070,1628,55.29,6072
OL,683,13965,1419,94.01,16266
OL,715,63612,3022,49.78,63524
OL,833,13964,1407,1.39,11137
OL,1538,19320,1595,1.11,15945
OL,1767,2640829,178437,0.31,2190615
OL,2003,284955,64470,46.77,272941
OL,2135,100146,8278,15.31,91726
OL,2143,9586,590,97.77,10826
OL,2208,2157,1021,72.62,2555
OL,3240,13606,702,78.17,14144
OL,5185,144168,2587,11.04,141013
OL,5320,6705,220,34.11,6612
OL,6459,10425,1304,25.77,9539
OL,6947,19604,450,58.53,19696
OL,7625,8750,678,69.55,9076
OL,10657,84290,5100,0.56,72172
OL,13501,2137,169,98.09,2509
OL,13919,4422,312,78.03,4658
OL,13994,2231,513,46.31,2129
OL,14044,4750,243,57.04,4787
OL,14176,4964,403,30.2,4744
OL,14257,31700,772,37.22,31440
OL,14370,1702,246,11.17,1414
OL,14915,1323,500,13.14,822
OL,15113,1643,221,98.17,2154
OL,15148,380,62,32.85,349
OL,15210,2197,273,30.66,2048
OL,15571,15649,862,84.83,16536
OL,17043,353,119,47.24,327
OL,17450,351,61,40.66,332
OL,17493,433,40,0.01,308
OL,18163,6614,482,82.41,7059
OL,18686,1062,183,99.21,1582
OL,24830,3953,2084,79.33,5243
OL,26797,102593,24152,41.68,95110
OL,27065,21143,811,10.38,20131
OL,28550,6073,1357,59.39,6246
OL,30449,483,27,98.32,543
OL,30651,875,72,60.85,892
OL,32301,55752,231793,70.1,32031
OL,33049,335,110,97.47,595
OL,36315,1172,269,35.19,1048
OL,38733,25732,2346,25.15,24111
OL,41068,2094,197,0.97,1674
OL,41580,4386,411,99.89,5820
OL,42439,32501,26162,61.84,31327
OL,43354,337,69,55.19,339
