Line,GroupCode,ODPEstimate,ODPStandardDev,OutcomePercentile,Outcome
OL,620,337346,5852206,74.06,455387
OL,669,4926,0,0,4890
OL,671,6184,6743,46.66,6071
OL,683,15565,2570,84.02,16915
OL,715,67270,3319,28.81,65381
OL,833,18435,386784,22.16,11462
OL,1538,16353,26287,29.87,15961
OL,1767,2412566,95562,0.8,2207154
OL,2003,251949,13676,95.81,277202
OL,2135,72960,175842,93.93,92770
OL,2143,10583,17375,64.37,10836
OL,2208,2358,27870,76.74,2660
OL,3240,904425,85612334,46.64,14248
OL,5185,138149,2579,91.89,141675
OL,5320,6244,0,100,6671
OL,6459,11750,6493,5.74,9688
OL,6947,20064,1144,37.42,19790
OL,7625,10247,124000,54.39,9197
OL,10657,71081,100791,69.71,73457
OL,13501,2422,109984,44.24,2489
OL,13919,5264,7028,22.44,4713
OL,13994,1897,0,100,2129
OL,14044,4602,2069,81.35,4793
OL,14176,4767,1251,56.65,4783
OL,14257,32159,493,15.34,31670
OL,14370,1395,1268,62.35,1414
OL,14915,1035,901,24.03,849
OL,15113,2116,3927,72.97,2238
OL,15148,359,53,20.84,349
OL,15210,2363,5811,27.03,2148
OL,15571,17403,5607,28.49,16609
OL,17043,1023,75751,43.25,327
OL,17450,306,0,100,332
OL,17493,401,1104,10.44,307
OL,18163,6670,12594,83.39,7352
OL,18686,1073,0,100,1594
OL,24830,4601,0,100,5176
OL,26797,143656,442239,4.74,97460
OL,27065,20353,20647,41.49,20232
OL,28550,9916,532586,52.21,6419
OL,30449,383,15914,45.37,542
OL,30651,844,0,100,892
OL,32301,30321,0,100,33596
OL,33049,1930,366411,46.22,595
OL,36315,5296,371587,28.19,1053
OL,38733,26559,2658,16.81,24298
OL,41068,1641,1652,60.24,1674
OL,41580,5049,1639,93.1,5962
OL,42439,5220,1887871,75.23,33550
OL,43354,371,936,23.11,341
