Line,GroupCode,ODPEstimate,ODPStandardDev,OutcomePercentile,Outcome
OL,620,415448,13234,96.16,439839
OL,669,2707,251003,43.76,4894
OL,671,7382,123167,51.22,6072
OL,683,14114,19688,87.35,16266
OL,715,63721,3043,49.79,63524
OL,833,14156,1730,1.22,11137
OL,1538,19478,1569,0.12,15945
OL,1767,2653356,176274,0.01,2190615
OL,2003,262199,5725424,47.84,272941
OL,2135,100826,8519,13.92,91726
OL,2143,9615,592,96.32,10826
OL,2208,-4756,749924,65.87,2555
OL,3240,13630,666,78.75,14144
OL,5185,144224,2701,11.28,141013
OL,5320,6716,225,34.51,6612
OL,6459,10546,1429,21.26,9539
OL,6947,19641,447,57.46,19696
OL,7625,8828,731,67.04,9076
OL,10657,84881,6733,1.07,72172
OL,13501,2176,607,90.22,2509
OL,13919,4443,284,78.84,4658
OL,13994,2261,3976,43.94,2129
OL,14044,4755,249,59.51,4787
OL,14176,5000,380,26.65,4744
OL,14257,31708,936,40.98,31440
OL,14370,1754,289,8.25,1414
OL,14915,1085,45469,13.4,822
OL,15113,1688,481,93.22,2154
OL,15148,383,44,13.8,349
OL,15210,2253,1281,34.85,2048
OL,15571,15680,1043,83.32,16536
OL,17043,300,11485,42.47,327
OL,17450,360,53,34.65,332
OL,17493,437,41,0,308
OL,18163,6651,479,82.06,7059
OL,18686,716,0,100,1582
OL,24830,1322,248657,74.61,5243
OL,26797,111306,170025,33.35,95110
OL,27065,21164,691,4.45,20131
OL,28550,6311,2150,57.77,6246
OL,30449,491,110,84.67,543
OL,30651,806,0,100,892
OL,32301,968,7222831,5.3,32031
OL,33049,343,971,96.04,595
OL,36315,1231,332,29.25,1048
OL,38733,25908,2280,22.22,24111
OL,41068,2140,463,4.04,1674
OL,41580,4386,412,99.75,5820
OL,42439,35118,53666,42.26,31327
OL,43354,369,795,55.22,339
