Line,GroupCode,MackEstimate,MackStandardDev,OutcomePercentile,Outcome
PA,353,127924,1082,1.13,125477
PA,388,909753,12910,85.39,923360
PA,620,506671,3332,30.09,504924
PA,692,295643,22486,43.24,291003
PA,715,169396,1970,3.33,165810
PA,1066,217952,3331,10.98,213877
PA,1090,1084643,4362,47.74,1084387
PA,1538,311643,2184,62.27,312319
PA,1767,91911951,387080,16.34,91532402
PA,2003,12341930,86543,84.05,12428163
PA,2143,135751,1493,63.45,136257
PA,3240,1077516,9528,81.73,1086131
PA,4839,3027141,15969,54.71,3028991
PA,5185,260517,2639,49.96,260501
PA,6947,900569,4200,98.07,909292
PA,7080,1462768,11961,88.64,1477235
PA,8427,123330,1761,98.19,127063
PA,8559,149928,1577,0.78,146153
PA,10022,66712,1167,0.35,63628
PA,13420,74137,704,10.28,73248
PA,13439,36870,604,14.86,36241
PA,13501,100916,1254,23.37,100001
PA,13528,4763,106,41.45,4739
PA,13587,6881,435,10.47,6344
PA,13595,16986,421,28.22,16740
PA,13641,70136,962,68.67,70599
PA,13889,117017,1212,0.5,113934
PA,14044,36484,343,70.23,36665
PA,14176,143536,2062,1.84,139279
PA,14257,115557,964,56.22,115704
PA,14311,130644,3559,33.68,129106
PA,14443,94073,1114,98.71,96582
PA,15199,108533,1085,3.14,106528
PA,15393,18685,291,98.8,19351
PA,15660,53553,576,21.13,53090
PA,16373,9754,74,63.86,9780
PA,16799,34560,463,0.01,32851
PA,18163,129190,1057,86.4,130352
PA,18791,91774,1034,89.53,93075
PA,23574,21572,277,90.72,21940
PA,25275,101906,1849,82.46,103629
PA,27022,63726,616,0,60411
PA,27065,42788,568,91.88,43585
PA,27499,2746,112,93.77,2921
PA,27766,1936,83,24.17,1877
PA,29440,67904,2046,97.19,71892
PA,31550,33118,372,50.76,33123
PA,34509,18719,515,74.37,19052
PA,34592,76850,851,36.67,76556
PA,34606,11556,260,96.45,12032
