Line,GroupCode,MackEstimate,MackStandardDev,OutcomePercentile,Outcome
PA,353,129779,2210,2.41,125467
PA,388,1151490,50892,0,921525
PA,620,506186,4152,29.57,503945
PA,692,301954,5857,2.87,290971
PA,715,178911,2857,0,165178
PA,1066,217309,3143,13.13,213794
PA,1090,1095554,5164,1.01,1083616
PA,1538,316700,2661,1.99,311264
PA,1767,92385689,550736,3.08,91360195
PA,2003,12612279,149116,7,12393224
PA,2143,136332,1880,43.95,136033
PA,3240,1127551,8167,0,1085241
PA,4839,3028786,13049,44.83,3027062
PA,5185,268457,5351,6.9,260587
PA,6947,914055,3271,3.86,908288
PA,7080,1472980,29191,33.01,1459916
PA,8427,124765,1505,93.44,127048
PA,8559,149295,1383,0.41,145675
PA,10022,64242,734,17.69,63561
PA,13420,79319,1277,0,73123
PA,13439,36875,677,16.79,36223
PA,13501,101102,1411,21.31,99976
PA,13528,5819,1141,16.86,4739
PA,13587,6746,359,11.33,6317
PA,13595,17430,449,5.99,16740
PA,13641,74147,1221,0.15,70599
PA,13889,114167,1340,38.5,113768
PA,14044,36623,436,50.69,36628
PA,14176,142994,2486,3.24,138457
PA,14257,115905,1112,40.86,115643
PA,14311,136832,2796,0.11,128523
PA,14443,99517,1120,0.31,96494
PA,15199,111629,1527,0.03,106435
PA,15393,20943,509,0.06,19351
PA,15660,52890,674,61.27,53079
PA,16373,9705,102,76.97,9780
PA,16799,34645,578,0.07,32834
PA,18163,133124,978,0.14,130229
PA,18791,92452,1020,72.34,93053
PA,23574,22517,491,11.74,21936
PA,25275,97205,1147,100,101929
PA,27022,63122,1013,0.19,60252
PA,27065,43896,577,27.93,43556
PA,27499,2714,96,94.82,2873
PA,27766,1997,77,5.61,1877
PA,29440,69842,1635,89.15,71870
PA,31550,33717,411,7.32,33123
PA,34509,19498,398,9.57,18981
PA,34592,79694,1285,0.59,76514
PA,34606,11255,468,93.12,11961
