Line,GroupCode,MackEstimate,MackStandardDev,OutcomePercentile,Outcome
WC,86,1759204,58633,0.45,1611800
WC,337,586854,7017,64.54,589435
WC,353,35142,571,21.36,34687
WC,388,1135451,28795,99.95,1233553
WC,671,97175,2806,42.15,96581
WC,715,234682,1796,93.05,237347
WC,1252,23117,386,20.35,22796
WC,1538,134137,1728,13.6,132241
WC,1767,1739672,20578,55.89,1742600
WC,2135,613158,6693,2.66,600316
WC,2712,571868,4809,0,541325
WC,3034,155093,3557,7.11,149921
WC,3240,39745,810,56.14,39862
WC,5185,103097,1766,67.94,103908
WC,6408,34428,926,99.86,37291
WC,6807,180997,4417,98.46,190736
WC,7080,1828610,10935,76.78,1836596
WC,8559,76010,1529,11.8,74205
WC,8672,70420,472,100,72813
WC,9466,158320,3198,44.11,157815
WC,10385,223047,3483,4.66,217250
WC,10699,298268,7282,0,261085
WC,11347,365494,5559,0.32,350602
WC,11703,63909,2516,0.19,56968
WC,13439,6395,499,5.7,5637
WC,13528,27608,999,12.86,26482
WC,14176,112136,1884,0.26,106986
WC,14320,11006,320,88.44,11391
WC,14508,57809,1236,0,52431
WC,14974,30858,571,22.58,30426
WC,15148,813,39,5.45,752
WC,15199,1437,133,26.17,1349
WC,15334,84413,1774,99.82,89706
WC,18309,11876,496,13.38,11329
WC,18538,2118,124,0.04,1738
WC,18767,178660,1994,0.18,172944
WC,18791,1860,129,89.25,2022
WC,21172,169674,3342,0,154457
WC,23108,369687,7393,78.23,375422
WC,26433,16527,404,20.96,16199
WC,27529,7787,311,46.94,7757
WC,30589,57843,2742,73.32,59508
WC,32875,31438,1061,76.94,32211
WC,33499,10135,2220,97.23,14986
WC,34576,33722,881,0.22,31293
WC,35408,2536,1072,62.81,2667
WC,37370,48478,1487,0.96,45100
WC,38687,61702,1276,0.18,58077
WC,38733,193280,1823,97.03,196739
WC,41300,38278,454,8.35,37653
