Line,GroupCode,ODPEstimate,ODPStandardDev,OutcomePercentile,Outcome
WC,86,1704258,23838,4.18,1667915
WC,337,564234,12467,99.92,610962
WC,353,36162,107451,73.53,35658
WC,388,1245905,282336,83.79,1309643
WC,671,97423,210135,48.44,99907
WC,715,248231,3679,7.27,242834
WC,1252,22612,40403,79.96,23620
WC,1538,133265,119668,60.97,134900
WC,1767,1837319,29482,59.71,1843847
WC,2135,613675,37590,84.32,642976
WC,2712,561612,552519,80.25,571527
WC,3034,170413,35757,18,162442
WC,3240,43981,619042,69.6,40544
WC,5185,109917,7598,19.41,106900
WC,6408,36086,1222,88.84,37533
WC,6807,167199,632154,98.11,194402
WC,7080,2036522,102434,40.15,2020225
WC,8559,84743,170793,41.23,81921
WC,8672,78099,9663,84.18,80320
WC,9466,151757,3153,100,164276
WC,10385,204850,406853,75.07,215563
WC,10699,268869,37845,51.66,267296
WC,11347,368637,5843,37.87,366468
WC,11703,74140,101565,22.19,65376
WC,13439,5988,14083,26.22,5701
WC,13528,26968,31093,37.44,26562
WC,14176,126054,2974,0,109695
WC,14320,11573,160741,76.71,11550
WC,14508,56967,1234,40.04,56590
WC,14974,29016,81471,71.76,31222
WC,15148,703,7121,43.89,752
WC,15199,1567,19613,30.6,1349
WC,15334,115497,47481,84.97,123153
WC,18309,12035,923,33.31,11699
WC,18538,2248,955,1.04,1738
WC,18767,183122,89783,43.28,180944
WC,18791,1698,14412,79.97,2107
WC,21172,173712,6962,1.96,159437
WC,23108,389064,8895,70.53,393048
WC,26433,16356,640,81.67,16829
WC,27529,8885,139007,52.65,7898
WC,30589,59505,2993,50.5,59545
WC,32875,32257,0,100,33604
WC,33499,11046,0,100,17614
WC,34576,34816,4323,3.62,32102
WC,35408,2717,45870,65.04,2667
WC,37370,49597,33250,21,46100
WC,38687,60022,59543,34.84,59318
WC,38733,198821,155204,92.95,203178
WC,41300,37889,621,54.82,37915
