Line,GroupCode,ODPEstimate,ODPStandardDev,OutcomePercentile,Outcome
WC,86,1760107,54098,0.07,1611800
WC,337,586948,5809,66.54,589435
WC,353,35099,775,31.54,34687
WC,388,1136204,33604,99.73,1233553
WC,671,97378,3559,41.07,96581
WC,715,234708,2223,88.36,237347
WC,1252,23112,409,22.81,22796
WC,1538,134170,1862,14.62,132241
WC,1767,1740628,19508,54.48,1742600
WC,2135,613539,6149,1.57,600316
WC,2712,571888,5698,0,541325
WC,3034,155500,3896,7.21,149921
WC,3240,39760,1065,56.3,39862
WC,5185,103098,1933,67.3,103908
WC,6408,28698,0,100,37291
WC,6807,181292,4588,97.39,190736
WC,7080,1828803,14100,70.78,1836596
WC,8559,75996,1253,7.63,74205
WC,8672,70456,586,99.95,72813
WC,9466,158214,2967,45.42,157815
WC,10385,222706,5787,15.74,217250
WC,10699,298640,8034,0,261085
WC,11347,365555,6802,1,350602
WC,11703,63933,2265,0.03,56968
WC,13439,6448,517,4.59,5637
WC,13528,27619,1084,12.98,26482
WC,14176,112333,2216,0.39,106986
WC,14320,11020,364,84.91,11391
WC,14508,57842,1411,0,52431
WC,14974,30892,585,21.44,30426
WC,15148,812,39,4.11,752
WC,15199,1444,778,25.51,1349
WC,15334,84454,2977,95.59,89706
WC,18309,11887,593,16.85,11329
WC,18538,2119,135,0,1738
WC,18767,178665,2209,0.31,172944
WC,18791,7143,525935,63.87,2022
WC,21172,169829,3765,0,154457
WC,23108,370326,9466,74.2,375422
WC,26433,16527,451,24.15,16199
WC,27529,7777,299,49.09,7757
WC,30589,58073,7608,62.02,59508
WC,32875,31351,6656,87.59,32211
WC,33499,10376,1616,99.28,14986
WC,34576,33714,938,0.3,31293
WC,35408,2552,2536,74.45,2667
WC,37370,48460,1288,0.16,45100
WC,38687,61698,1414,0.33,58077
WC,38733,193342,1949,95.74,196739
WC,41300,38280,491,9.74,37653
